wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
1063.0,1.000000000,0.081409998,0.005823560,0.000152010
1064.0,1.000000000,0.081039697,0.005769840,0.000149860
1065.0,1.000000000,0.080686301,0.005725420,0.000147950
1066.0,1.000000000,0.080430001,0.005679750,0.000145960
1067.0,1.000000000,0.080157198,0.005638950,0.000143920
1068.0,1.000000000,0.079789400,0.005588990,0.000142000
1069.0,1.000000000,0.079493701,0.005543040,0.000140050
1070.0,1.000000000,0.079291902,0.005504670,0.000138120
1071.0,1.000000000,0.078923799,0.005457180,0.000136450
1072.0,1.000000000,0.078623399,0.005414080,0.000134590
1073.0,1.000000000,0.078300700,0.005373580,0.000132790
1074.0,1.000000000,0.078046598,0.005330040,0.000131120
1075.0,1.000000000,0.077717803,0.005289500,0.000129450
1076.0,1.000000000,0.077445097,0.005250710,0.000127750
1077.0,1.000000000,0.077299297,0.005221450,0.000126150
1078.0,1.000000000,0.076835699,0.005172130,0.000124680
1079.0,1.000000000,0.076629400,0.005137190,0.000123270
1080.0,1.000000000,0.076437302,0.005103970,0.000121650
1081.0,1.000000000,0.076146998,0.005067610,0.000120230
1082.0,1.000000000,0.075906597,0.005030110,0.000118830
1083.0,1.000000000,0.075550303,0.004989470,0.000117530
1084.0,1.000000000,0.075328603,0.004956780,0.000116220
1085.0,1.000000000,0.075156100,0.004928980,0.000114990
1086.0,1.000000000,0.074840799,0.004889530,0.000113460
1087.0,1.000000000,0.074578702,0.004853740,0.000112090
1088.0,1.000000000,0.074355699,0.004823550,0.000110810
1089.0,1.000000000,0.074072301,0.004788570,0.000109590
1090.0,1.000000000,0.073890798,0.004758310,0.000108490
1091.0,1.000000000,0.073626302,0.004727370,0.000107250
1092.0,1.000000000,0.073458597,0.004698500,0.000105920
1093.0,1.000000000,0.073176302,0.004664820,0.000104740
1094.0,1.000000000,0.072991200,0.004637660,0.000103600
1095.0,1.000000000,0.072650500,0.004601390,0.000102490
1096.0,1.000000000,0.072475702,0.004575770,0.000101490
1097.0,1.000000000,0.072295398,0.004550840,0.000100420
